# LootCouncil EX — Tier 5 token source (Serpentshrine Cavern + Tempest Keep).
# Columns: tokenID,name,class,pieceID
#   class   = WoW class token (uppercase). Token lines: Champion = Rogue/Shaman/Paladin,
#             Defender = Druid/Priest/Warrior, Hero = Warlock/Hunter/Mage.
#   pieceID = the actual armor item the class redeems for this token. A class with spec-variant
#             tier sets (paladin/shaman/druid/warrior/priest) redeems into SEVERAL items, so it
#             gets one row PER piece; the converter accumulates pieces[CLASS] into a list.
# Verified vs AtlasLoot: token IDs/names from data-tbc.lua; piece IDs from Data/ItemSet.lua
#   (set order helm,shoulder,chest,hands,legs); class groupings from warcraft.wiki.gg.
# Regenerate Core/Data/TierTokens.lua with:  lua tools/build_data.lua
tokenID,name,class,pieceID
# ── Helm (drops: Lady Vashj) ───────────────────────────────────────────────────
30242,Helm of the Vanquished Champion,ROGUE,30146
30242,Helm of the Vanquished Champion,SHAMAN,30166
30242,Helm of the Vanquished Champion,SHAMAN,30171
30242,Helm of the Vanquished Champion,SHAMAN,30190
30242,Helm of the Vanquished Champion,PALADIN,30136
30242,Helm of the Vanquished Champion,PALADIN,30125
30242,Helm of the Vanquished Champion,PALADIN,30131
30243,Helm of the Vanquished Defender,DRUID,30228
30243,Helm of the Vanquished Defender,DRUID,30219
30243,Helm of the Vanquished Defender,DRUID,30233
30243,Helm of the Vanquished Defender,PRIEST,30152
30243,Helm of the Vanquished Defender,PRIEST,30161
30243,Helm of the Vanquished Defender,WARRIOR,30115
30243,Helm of the Vanquished Defender,WARRIOR,30120
30244,Helm of the Vanquished Hero,WARLOCK,30212
30244,Helm of the Vanquished Hero,HUNTER,30141
30244,Helm of the Vanquished Hero,MAGE,30206
# ── Pauldrons (drops: Void Reaver) ─────────────────────────────────────────────
30248,Pauldrons of the Vanquished Champion,ROGUE,30149
30248,Pauldrons of the Vanquished Champion,SHAMAN,30168
30248,Pauldrons of the Vanquished Champion,SHAMAN,30173
30248,Pauldrons of the Vanquished Champion,SHAMAN,30194
30248,Pauldrons of the Vanquished Champion,PALADIN,30138
30248,Pauldrons of the Vanquished Champion,PALADIN,30127
30248,Pauldrons of the Vanquished Champion,PALADIN,30133
30249,Pauldrons of the Vanquished Defender,DRUID,30230
30249,Pauldrons of the Vanquished Defender,DRUID,30221
30249,Pauldrons of the Vanquished Defender,DRUID,30235
30249,Pauldrons of the Vanquished Defender,PRIEST,30154
30249,Pauldrons of the Vanquished Defender,PRIEST,30163
30249,Pauldrons of the Vanquished Defender,WARRIOR,30117
30249,Pauldrons of the Vanquished Defender,WARRIOR,30122
30250,Pauldrons of the Vanquished Hero,WARLOCK,30215
30250,Pauldrons of the Vanquished Hero,HUNTER,30143
30250,Pauldrons of the Vanquished Hero,MAGE,30210
# ── Chestguard (drops: Kael'thas Sunstrider) ───────────────────────────────────
30236,Chestguard of the Vanquished Champion,ROGUE,30144
30236,Chestguard of the Vanquished Champion,SHAMAN,30164
30236,Chestguard of the Vanquished Champion,SHAMAN,30169
30236,Chestguard of the Vanquished Champion,SHAMAN,30185
30236,Chestguard of the Vanquished Champion,PALADIN,30134
30236,Chestguard of the Vanquished Champion,PALADIN,30123
30236,Chestguard of the Vanquished Champion,PALADIN,30129
30237,Chestguard of the Vanquished Defender,DRUID,30222
30237,Chestguard of the Vanquished Defender,DRUID,30216
30237,Chestguard of the Vanquished Defender,DRUID,30231
30237,Chestguard of the Vanquished Defender,PRIEST,30150
30237,Chestguard of the Vanquished Defender,PRIEST,30159
30237,Chestguard of the Vanquished Defender,WARRIOR,30113
30237,Chestguard of the Vanquished Defender,WARRIOR,30118
30238,Chestguard of the Vanquished Hero,WARLOCK,30214
30238,Chestguard of the Vanquished Hero,HUNTER,30139
30238,Chestguard of the Vanquished Hero,MAGE,30196
# ── Gloves (drops: Leotheras the Blind) ────────────────────────────────────────
30239,Gloves of the Vanquished Champion,ROGUE,30145
30239,Gloves of the Vanquished Champion,SHAMAN,30165
30239,Gloves of the Vanquished Champion,SHAMAN,30170
30239,Gloves of the Vanquished Champion,SHAMAN,30189
30239,Gloves of the Vanquished Champion,PALADIN,30135
30239,Gloves of the Vanquished Champion,PALADIN,30124
30239,Gloves of the Vanquished Champion,PALADIN,30130
30240,Gloves of the Vanquished Defender,DRUID,30223
30240,Gloves of the Vanquished Defender,DRUID,30217
30240,Gloves of the Vanquished Defender,DRUID,30232
